id,text
1901870249081028959,"@ulfakanyaa @ulfakanyaa Untuk berhenti langganan Indihome bisa dibantu lewat GraPARI atau 188 ya Kak Ulfa. saat ini juga bisa kami bantu reservasi agar Kakak dihubungi 188 maksimal 1x24 jam. Kalo bersedia, lanjutin ke DM ya biar dibantu sama temen Micha di DM Makasih 😊 -Micha"
1901869976845533190,"@aan__ posting di facebook, mungkin banyak mengundang anak indihome berspekulasi"
1901869456403714166,@IndiHomeCare kak mau tanya untuk prosedur pemutusan pemakaian indihome bagaimana?
1901868021293215907,@ia_shev @IndiHome @ia_shev Tungguin temen Micha bales DMnya ya Kak Shev 😊 -Micha
1901867648721588424,@IndiHomeCare @IndiHome cek dm min
1901866445585457196,"@cnnamor Upgrade IndiHome dong, Kak🤭Biar kecepatannya lebih maksimal dan bisa temani segala aktivitas Kakak :) -Indah"
1901866026616389785,"@IndiHome permisi saya punya kendala wifi nya suka diskonek sendiri , terus konek lagi"
1901865805211693360,"Udah ah gw capek ngomel"" Sama IndiHome😌"
1901865058835091770,"Gimana nih @TENESA_TELKOM , lambat banget penanganan keluhan Telkom Enterprise.. udah setengah hari belum beres juga koneksi indihome"
1901864901158834205,Gw mau nonton drakor mau ngerjain tugas pliss IndiHome benerin jaringan lo😭😭🙏👊👊
1901864751891923189,"Hahhh kesel bgt sama IndiHome jaringan gada udh restart masih aja gabisa. Bener"" Lo ya untung lgi puasa masih sabar nih"
1901864060108370028,"Kalau kamu kurang fokus, cobalah untuk makan siang dan minum segelas air putih🤣

#IndiHome https://t.co/hzyCiapMQg"
1901863452374884622,Plisss ini gimna IndiHome huhh udh restart sama aja masih loss. Cs sulit di telfon ada saran ga harus ngapain? 🥲🥲
1901863448033804766,@omdidittt @IndiHome @omdidittt Pasti dibantu cek untuk DMnya kok Kak Adit. Tunggu ya :) -Sakia
1901863118667661602,gue mau migrasi paket indihome jd lama bgt balas dm gue
1901863030431863218,"@IndiHomeCare @IndiHome haloo ka, tolong dibantu cek dm ya. terimakasih"
1901862908088426619,"@lovu_somatcha IndiHome hadirrr ☺️Kenapa, kenapa Kak? -Indah"
1901862381128720524,"@KinGembuL Kak Alfian, langganan IndiHome juga kah? Kuy, DM mimin nomor internetnya buat dicek😊-Indah"
1901861422734406124,"@aigoaigu @berandaall @sarahastro TUNGGU KTV, GRAMEDIATV, CTV BANTEN MASUK INDIHOME"
1901861316278804732,"@saintdelouvre @kegblgnunfaedh TUNGGU KTV, GRAMEDIATV, CTV BANTEN MASUK INDIHOME"
1901861287065502091,"@kegblgnunfaedh TUNGGU KTV, GRAMEDIATV, CTV BANTEN MASUK INDIHOME"
1901861212687863843,"@KurniawanRicho TUNGGU KTV, GRAMEDIATV, CTV BANTEN MASUK INDIHOME"
1901860989127315558,"@tebelams @HabisNontonFilm TUNGGU KTV, GRAMEDIATV, CTV BANTEN MASUK INDIHOME"
1901860948174102915,"@deberita_com @HabisNontonFilm TUNGGU KTV, GRAMEDIATV, CTV BANTEN MASUK INDIHOME"
1901860861913800960,"@kapalterbangs TUNGGU KTV, GRAMEDIATV, CTV BANTEN MASUK INDIHOME"
1901860785242210699,@desnatalue @desnatalue Betul Kak Ameng. Call Center IndiHome yaitu 188 ya. Kakak juga bisa tunggu balesan di DM untuk dibantu lebih lanjut. Makasih :) -Sakia
1901855959674421297,@notemon3 Sekarang IndiHome menjadi 1 di aplikasi MyTelkomsel ya Kak🤩-Indah
1901855754749120877,"Sampai saat ini tidak jelas proses sampai mana? Migrasi gk berhasil, tagihan gk berubah.
Anj*******************ng.

@Telkomsel 
Brengsek kalian
@IndiHome 

Bantu up biar di perhatikan 
@Heraloebss 
@neVerAl0nely 
@Pai_C1 
@kemkomdigi 
@KemenBUMN 
@erickthohir https://t.co/qtTuIDY2xU"
1901855064232227102,"@ErodedHoe Tau banget nih Kak Awan, pasti udah lama ya jadi pelanggan Indihome? 😊 -Tiar"
1901855017776415139,indihome bener bener ya🙂
1901854573477707986,bingung mau ganti wifi atau upgrade indihome 🥹
